Date,difficulty30ema
2011/09/08,1782573
2011/09/09,1782263
2011/09/10,1781973
2011/09/11,1781703
2011/09/12,1781449
2011/09/13,1780400
2011/09/14,1778788
2011/09/15,1777281
2011/09/16,1775871
2011/09/17,1774552
2011/09/18,1773318
2011/09/19,1772164
2011/09/20,1771084
2011/09/21,1770074
2011/09/22,1769129
2011/09/23,1768244
2011/09/24,1767417
2011/09/25,1766644
2011/09/26,1765920
2011/09/27,1765115
2011/09/28,1760226
2011/09/29,1755652
2011/09/30,1751373
2011/10/01,1747371
2011/10/02,1743627
2011/10/03,1740124
2011/10/04,1736847
2011/10/05,1733782
2011/10/06,1730914
2011/10/07,1728232
2011/10/08,1725722
2011/10/09,1723375
2011/10/10,1721178
2011/10/11,1719124
2011/10/12,1717202
2011/10/13,1715404
2011/10/14,1700174
2011/10/15,1685207
2011/10/16,1671207
2011/10/17,1658109
2011/10/18,1645857
2011/10/19,1634395
2011/10/20,1623672
2011/10/21,1613641
2011/10/22,1604258
2011/10/23,1595479
2011/10/24,1587268
2011/10/25,1579586
2011/10/26,1572399
2011/10/27,1565676
2011/10/28,1559387
2011/10/29,1553504
2011/10/30,1548000
2011/10/31,1527858
2011/11/01,1506929
2011/11/02,1487351
2011/11/03,1469035
2011/11/04,1451901
2011/11/05,1435873
2011/11/06,1420879
2011/11/07,1406852
2011/11/08,1393730
2011/11/09,1381455
2011/11/10,1369971
2011/11/11,1359229
2011/11/12,1349179
2011/11/13,1339778
2011/11/14,1330504
2011/11/15,1321600
2011/11/16,1313271
2011/11/17,1305479
2011/11/18,1298190
2011/11/19,1291371
2011/11/20,1284992
2011/11/21,1279025
2011/11/22,1273442
2011/11/23,1268220
2011/11/24,1263335
2011/11/25,1258765
2011/11/26,1254489
2011/11/27,1250490
2011/11/28,1246749
2011/11/29,1240489
2011/11/30,1230826
2011/12/01,1221786
2011/12/02,1213330
2011/12/03,1205420
2011/12/04,1198019
2011/12/05,1191097
2011/12/06,1184620
2011/12/07,1178562
2011/12/08,1172895
2011/12/09,1167593
2011/12/10,1162633
2011/12/11,1157993
2011/12/12,1154339
2011/12/13,1154384
2011/12/14,1154426
2011/12/15,1154466
2011/12/16,1154503
2011/12/17,1154537
2011/12/18,1154569
2011/12/19,1154600
2011/12/20,1154628
2011/12/21,1154654
2011/12/22,1154679
2011/12/23,1154702
2011/12/24,1154724
2011/12/25,1154744
2011/12/26,1154838
2011/12/27,1155167
2011/12/28,1155474
2011/12/29,1155761
2011/12/30,1156030
2011/12/31,1156282
2012/01/01,1156517
2012/01/02,1156737
2012/01/03,1156943
2012/01/04,1157136
2012/01/05,1157316
2012/01/06,1157485
2012/01/07,1157643
2012/01/08,1159012
2012/01/09,1164931
2012/01/10,1170469
2012/01/11,1175649
2012/01/12,1180494
2012/01/13,1185027
2012/01/14,1189268
2012/01/15,1193235
2012/01/16,1196946
2012/01/17,1200418
2012/01/18,1203666
2012/01/19,1206704
2012/01/20,1209546
2012/01/21,1212205
2012/01/22,1217800
2012/01/23,1223602
2012/01/24,1229030
2012/01/25,1234107
2012/01/26,1238857
2012/01/27,1243300
2012/01/28,1247457
2012/01/29,1251345
2012/01/30,1254983
2012/01/31,1258386
2012/02/01,1261569
2012/02/02,1264547
2012/02/03,1267333
2012/02/04,1272422
2012/02/05,1279339
2012/02/06,1285811
2012/02/07,1291865
2012/02/08,1297528
2012/02/09,1302826
2012/02/10,1307783
2012/02/11,1312419
2012/02/12,1316756
2012/02/13,1320814
2012/02/14,1324609
2012/02/15,1328160
2012/02/16,1331482
2012/02/17,1334590
2012/02/18,1337372
2012/02/19,1339883
2012/02/20,1342233
2012/02/21,1344431
2012/02/22,1346487
2012/02/23,1348411
2012/02/24,1350210
2012/02/25,1351893
2012/02/26,1353468
2012/02/27,1354941
2012/02/28,1356320
2012/02/29,1357609
2012/03/01,1358815
2012/03/02,1364417
2012/03/03,1372969
2012/03/04,1380970
2012/03/05,1388454
2012/03/06,1395456
2012/03/07,1402006
2012/03/08,1408133
2012/03/09,1413865
2012/03/10,1419227
2012/03/11,1424243
2012/03/12,1428936
2012/03/13,1433326
2012/03/14,1437432
2012/03/15,1441274
2012/03/16,1444927
2012/03/17,1448370
2012/03/18,1451591
2012/03/19,1454604
2012/03/20,1457423
2012/03/21,1460060
2012/03/22,1462527
2012/03/23,1464834
2012/03/24,1466993
2012/03/25,1469012
2012/03/26,1470902
2012/03/27,1472669
2012/03/28,1474322
2012/03/29,1482031
2012/03/30,1491355
2012/03/31,1500077
2012/04/01,1508237
2012/04/02,1515870
2012/04/03,1523011
2012/04/04,1529691
2012/04/05,1535941
2012/04/06,1541787
2012/04/07,1547255
2012/04/08,1552371
2012/04/09,1557157
2012/04/10,1561634
2012/04/11,1565823
2012/04/12,1568901
2012/04/13,1569482
