Date,difficulty30wma
2011/09/11,1788234
2011/09/12,1786668
2011/09/13,1784529
2011/09/14,1782026
2011/09/15,1779807
2011/09/16,1777696
2011/09/17,1775693
2011/09/18,1773799
2011/09/19,1772012
2011/09/20,1770334
2011/09/21,1768763
2011/09/22,1767301
2011/09/23,1765947
2011/09/24,1764701
2011/09/25,1763563
2011/09/26,1762533
2011/09/27,1761483
2011/09/28,1756410
2011/09/29,1751587
2011/09/30,1746966
2011/10/01,1742535
2011/10/02,1738294
2011/10/03,1734244
2011/10/04,1730383
2011/10/05,1726713
2011/10/06,1723233
2011/10/07,1719943
2011/10/08,1716844
2011/10/09,1713934
2011/10/10,1711215
2011/10/11,1708686
2011/10/12,1706347
2011/10/13,1704198
2011/10/14,1688664
2011/10/15,1673005
2011/10/16,1657964
2011/10/17,1643541
2011/10/18,1629735
2011/10/19,1616547
2011/10/20,1603977
2011/10/21,1592024
2011/10/22,1580689
2011/10/23,1569972
2011/10/24,1559872
2011/10/25,1550390
2011/10/26,1541526
2011/10/27,1533280
2011/10/28,1525647
2011/10/29,1518489
2011/10/30,1511807
2011/10/31,1490608
2011/11/01,1468297
2011/11/02,1447031
2011/11/03,1426811
2011/11/04,1407635
2011/11/05,1389504
2011/11/06,1372417
2011/11/07,1356376
2011/11/08,1341380
2011/11/09,1327428
2011/11/10,1314522
2011/11/11,1302660
2011/11/12,1291843
2011/11/13,1282071
2011/11/14,1272413
2011/11/15,1263112
2011/11/16,1254404
2011/11/17,1246290
2011/11/18,1238768
2011/11/19,1231838
2011/11/20,1225502
2011/11/21,1219759
2011/11/22,1214609
2011/11/23,1210051
2011/11/24,1206086
2011/11/25,1202715
2011/11/26,1199936
2011/11/27,1197750
2011/11/28,1196157
2011/11/29,1192397
2011/11/30,1185515
2011/12/01,1178945
2011/12/02,1172618
2011/12/03,1166533
2011/12/04,1160691
2011/12/05,1155091
2011/12/06,1149733
2011/12/07,1144618
2011/12/08,1139746
2011/12/09,1135116
2011/12/10,1130728
2011/12/11,1126583
2011/12/12,1123366
2011/12/13,1123833
2011/12/14,1124404
2011/12/15,1125063
2011/12/16,1125803
2011/12/17,1126623
2011/12/18,1127523
2011/12/19,1128505
2011/12/20,1129566
2011/12/21,1130709
2011/12/22,1131932
2011/12/23,1133235
2011/12/24,1134619
2011/12/25,1136084
2011/12/26,1137704
2011/12/27,1139643
2011/12/28,1141651
2011/12/29,1143730
2011/12/30,1145787
2011/12/31,1147695
2012/01/01,1149454
2012/01/02,1151065
2012/01/03,1152526
2012/01/04,1153839
2012/01/05,1155003
2012/01/06,1156018
2012/01/07,1156884
2012/01/08,1158824
2012/01/09,1165211
2012/01/10,1171255
2012/01/11,1176954
2012/01/12,1182332
2012/01/13,1187504
2012/01/14,1192470
2012/01/15,1197230
2012/01/16,1201785
2012/01/17,1206134
2012/01/18,1210276
2012/01/19,1214213
2012/01/20,1217944
2012/01/21,1221470
2012/01/22,1227897
2012/01/23,1234583
2012/01/24,1240940
2012/01/25,1246969
2012/01/26,1252672
2012/01/27,1258057
2012/01/28,1263124
2012/01/29,1267873
2012/01/30,1272305
2012/01/31,1276418
2012/02/01,1280214
2012/02/02,1283692
2012/02/03,1286852
2012/02/04,1292177
2012/02/05,1299259
2012/02/06,1305868
2012/02/07,1312005
2012/02/08,1317709
2012/02/09,1323137
2012/02/10,1328287
2012/02/11,1333161
2012/02/12,1337757
2012/02/13,1342076
2012/02/14,1346118
2012/02/15,1349882
2012/02/16,1353370
2012/02/17,1356580
2012/02/18,1359388
2012/02/19,1361832
2012/02/20,1364006
2012/02/21,1365910
2012/02/22,1367648
2012/02/23,1369239
2012/02/24,1370681
2012/02/25,1371977
2012/02/26,1373125
2012/02/27,1374125
2012/02/28,1374978
2012/02/29,1375684
2012/03/01,1376242
2012/03/02,1381126
2012/03/03,1389026
2012/03/04,1396518
2012/03/05,1403604
2012/03/06,1410365
2012/03/07,1416874
2012/03/08,1423131
2012/03/09,1429135
2012/03/10,1434887
2012/03/11,1440387
2012/03/12,1445634
2012/03/13,1450629
2012/03/14,1455372
2012/03/15,1459863
2012/03/16,1464160
2012/03/17,1468229
2012/03/18,1472042
2012/03/19,1475601
2012/03/20,1478900
2012/03/21,1481936
2012/03/22,1484711
2012/03/23,1487223
2012/03/24,1489472
2012/03/25,1491460
2012/03/26,1493185
2012/03/27,1494647
2012/03/28,1495847
2012/03/29,1502947
2012/03/30,1511692
2012/03/31,1519899
2012/04/01,1527568
2012/04/02,1534847
2012/04/03,1541848
2012/04/04,1548570
2012/04/05,1555014
2012/04/06,1561179
2012/04/07,1567065
2012/04/08,1572673
2012/04/09,1578002
2012/04/10,1583052
2012/04/11,1587824
2012/04/12,1591476
2012/04/13,1592581
2012/04/14,1593511
2012/04/15,1594267
2012/04/16,1594851
2012/04/17,1595264
2012/04/18,1595506
2012/04/19,1595576
2012/04/20,1595475
2012/04/21,1595203
2012/04/22,1594760
2012/04/23,1594145
2012/04/24,1593360
2012/04/25,1592403
2012/04/26,1591275
2012/04/27,1586762
2012/04/28,1580926
2012/04/29,1575273
2012/04/30,1569874
2012/05/01,1564729
2012/05/02,1559837
2012/05/03,1555199
2012/05/04,1550815
2012/05/05,1546684
2012/05/06,1542807
2012/05/07,1539184
2012/05/08,1535814
2012/05/09,1538984
2012/05/10,1550404
2012/05/11,1561594
2012/05/12,1572555
2012/05/13,1583259
2012/05/14,1593628
2012/05/15,1603664
2012/05/16,1613366
2012/05/17,1622734
2012/05/18,1631768
2012/05/19,1640468
2012/05/20,1648833
2012/05/21,1656865
2012/05/22,1664563
2012/05/23,1671927
2012/05/24,1676757
2012/05/25,1674356
2012/05/26,1671928
2012/05/27,1669471
2012/05/28,1666878
2012/05/29,1664108
2012/05/30,1661161
2012/05/31,1658037
2012/06/01,1654735
2012/06/02,1651255
2012/06/03,1647599
2012/06/04,1643764
2012/06/05,1639753
2012/06/06,1635564
2012/06/07,1631080
2012/06/08,1626031
2012/06/09,1621031
2012/06/10,1616353
2012/06/11,1611999
2012/06/12,1607966
2012/06/13,1604257
2012/06/14,1600870
2012/06/15,1597805
2012/06/16,1595064
2012/06/17,1592645
2012/06/18,1590548
2012/06/19,1588775
2012/06/20,1590003
2012/06/21,1598036
2012/06/22,1606084
2012/06/23,1614146
2012/06/24,1622148
2012/06/25,1629859
2012/06/26,1637279
2012/06/27,1644408
2012/06/28,1651245
2012/06/29,1657791
2012/06/30,1664045
2012/07/01,1670008
2012/07/02,1675679
2012/07/03,1681060
2012/07/04,1687005
2012/07/05,1693379
2012/07/06,1699409
2012/07/07,1705094
2012/07/08,1710430
2012/07/09,1715404
2012/07/10,1720016
2012/07/11,1724266
2012/07/12,1728155
2012/07/13,1731681
2012/07/14,1734846
2012/07/15,1737649
2012/07/16,1740090
2012/07/17,1744971
2012/07/18,1754010
2012/07/19,1762440
2012/07/20,1770261
2012/07/21,1777562
2012/07/22,1784562
2012/07/23,1791262
2012/07/24,1797661
2012/07/25,1803759
2012/07/26,1809557
2012/07/27,1815054
2012/07/28,1820250
2012/07/29,1825145
2012/07/30,1835171
2012/07/31,1850270
2012/08/01,1864702
2012/08/02,1878467
2012/08/03,1891565
2012/08/04,1904025
2012/08/05,1915871
2012/08/06,1927105
2012/08/07,1937724
2012/08/08,1947731
2012/08/09,1957124
2012/08/10,1965903
2012/08/11,1974070
2012/08/12,1986628
2012/08/13,2003349
