Date,sentinusd3rocUSD
2012/08/07,43.827
2012/08/08,-15.683
2012/08/09,-27.13
2012/08/10,-12.819
2012/08/11,-2.369
2012/08/12,16.402
2012/08/13,17.152
2012/08/14,2.221
2012/08/15,22.019
2012/08/16,25.22
2012/08/17,91.25
2012/08/18,14.185
2012/08/19,116.63
2012/08/20,158.727
2012/08/21,119.729
2012/08/22,31.6
2012/08/23,-13.101
2012/08/24,111.282
2012/08/25,-39.49
2012/08/26,-54.09
2012/08/27,-41.085
2012/08/28,60.767
2012/08/29,364.571
2012/08/30,84.83
2012/08/31,26.833
2012/09/01,-45.467
2012/09/02,-52.019
2012/09/03,-59.589
2012/09/04,-23.257
2012/09/05,64.672
2012/09/06,541.004
2012/09/07,204.513
2012/09/08,-15.179
2012/09/09,-82.537
2012/09/10,2.545
2012/09/11,172.66
2012/09/12,189.768
2012/09/13,21.923
2012/09/14,-8.294
2012/09/15,-34.057
2012/09/16,-35.35
2012/09/17,-25.739
2012/09/18,93.272
2012/09/19,135.624
2012/09/20,27.611
2012/09/21,105.009
2012/09/22,-53.32
2012/09/23,-52.143
2012/09/24,-69.56
2012/09/25,-88.697
2012/09/26,-78.733
2012/09/27,-83.561
2012/09/28,51.987
2012/09/29,-23.882
2012/09/30,4.994
2012/10/01,-38.335
2012/10/02,58.702
2012/10/03,-8.572
2012/10/04,-24.138
2012/10/05,35.541
2012/10/06,56.969
2012/10/07,43.501
2012/10/08,-39.655
2012/10/09,-37.122
2012/10/10,-54.105
2012/10/11,-28.657
2012/10/12,102.93
2012/10/13,230.148
2012/10/14,9.791
2012/10/15,-70.405
2012/10/16,0.047
2012/10/17,148.365
2012/10/18,331.759
2012/10/19,-2.278
2012/10/20,-20.272
2012/10/21,-32.725
2012/10/22,-17.509
2012/10/23,-4.728
2012/10/24,-19.528
2012/10/25,-39.458
2012/10/26,-65.383
2012/10/27,-22.855
2012/10/28,-41.438
2012/10/29,-1.771
2012/10/30,166.691
2012/10/31,351.119
2012/11/01,177.456
2012/11/02,-80.796
2012/11/03,-52.216
2012/11/04,-15.646
2012/11/05,184.549
2012/11/06,0.625
2012/11/07,-17.21
2012/11/08,-42.74
2012/11/09,-55.349
2012/11/10,-79.398
2012/11/11,-72.066
2012/11/12,-46.613
2012/11/13,112.212
2012/11/14,250.771
2012/11/15,510.042
2012/11/16,391.188
2012/11/17,125.734
2012/11/18,-18.02
2012/11/19,-63.154
2012/11/20,-42.383
2012/11/21,-56.901
2012/11/22,8.478
2012/11/23,-24.469
2012/11/24,34.694
2012/11/25,-46.718
2012/11/26,-1.728
2012/11/27,20.667
2012/11/28,146.328
2012/11/29,7.751
2012/11/30,-43.922
2012/12/01,-67.609
2012/12/02,-13.41
2012/12/03,126.254
2012/12/04,348.383
2012/12/05,206.329
2012/12/06,103.636
2012/12/07,-14.23
2012/12/08,-64.779
2012/12/09,-56.958
2012/12/10,-52.012
2012/12/11,57.922
2012/12/12,161.509
2012/12/13,298.037
2012/12/14,89.571
2012/12/15,-54.422
2012/12/16,-54.915
2012/12/17,-41.763
2012/12/18,39.967
2012/12/19,-39.291
2012/12/20,-48.91
2012/12/21,-28.76
2012/12/22,24.487
2012/12/23,-5.215
2012/12/24,-39.103
2012/12/25,-58.041
2012/12/26,-30.655
2012/12/27,-25.767
2012/12/28,79.925
2012/12/29,65.502
2012/12/30,-0.856
2012/12/31,17.143
2013/01/01,49.212
2013/01/02,145.947
2013/01/03,34.397
2013/01/04,56.733
2013/01/05,12.576
2013/01/06,-35.24
2013/01/07,-37.523
2013/01/08,2.648
2013/01/09,62.538
2013/01/10,-6.563
2013/01/11,-36.654
2013/01/12,-45.205
2013/01/13,-33.5
2013/01/14,-15.306
2013/01/15,128.705
2013/01/16,168.594
2013/01/17,74.283
2013/01/18,-12.61
2013/01/19,-28.839
2013/01/20,-35.779
2013/01/21,-30.585
2013/01/22,1.043
2013/01/23,135.954
2013/01/24,42.208
2013/01/25,10.039
2013/01/26,-45.446
2013/01/27,1.191
2013/01/28,13.87
2013/01/29,97.561
2013/01/30,33.59
2013/01/31,5.027
2013/02/01,-17.54
2013/02/02,-25.965
2013/02/03,-15.389
2013/02/04,-13.966
2013/02/05,60.83
2013/02/06,46.848
2013/02/07,15.77
2013/02/08,17.846
2013/02/09,-0.329
2013/02/10,-13.629
2013/02/11,-35.241
2013/02/12,-24.414
2013/02/13,-15.573
2013/02/14,20.576
2013/02/15,16.465
2013/02/16,27.121
2013/02/17,-23.433
2013/02/18,-5.707
2013/02/19,10.625
2013/02/20,14.907
2013/02/21,-5.476
2013/02/22,22.227
2013/02/23,-2.286
2013/02/24,62.084
2013/02/25,17.677
2013/02/26,28.819
2013/02/27,-6.572
2013/02/28,-14.044
2013/03/01,21.14
2013/03/02,6.978
2013/03/03,-40.771
2013/03/04,-36.936
2013/03/05,47.077
2013/03/06,209.607
2013/03/07,89.332
2013/03/08,-30.74
2013/03/09,-50.926
2013/03/10,-9.65
2013/03/11,-11.453
2013/03/12,57.005
2013/03/13,17.39
2013/03/14,5.118
2013/03/15,267.979
2013/03/16,64.229
2013/03/17,-18.66
2013/03/18,-25.207
2013/03/19,-4.835
2013/03/20,189.345
2013/03/21,-30.906
2013/03/22,-9.103
2013/03/23,-24.934
2013/03/24,-52.376
2013/03/25,12.128
2013/03/26,45.458
2013/03/27,254.825
2013/03/28,48.51
2013/03/29,3.087
2013/03/30,-23.901
2013/03/31,-7.47
2013/04/01,10.973
2013/04/02,69.92
2013/04/03,92.33
2013/04/04,77.17
2013/04/05,-11.632
2013/04/06,-37.501
2013/04/07,-43.822
2013/04/08,-7.66
2013/04/09,105.713
2013/04/10,240.022
2013/04/11,-8.333
2013/04/12,-57.297
2013/04/13,-77.119
2013/04/14,-68.396
2013/04/15,-44.464
2013/04/16,25.438
2013/04/17,106.046
2013/04/18,613.546
2013/04/19,54.114
2013/04/20,-15.105
2013/04/21,-81.154
2013/04/22,-8.423
2013/04/23,71.507
2013/04/24,133.875
2013/04/25,24.864
2013/04/26,-18.966
2013/04/27,-60.497
2013/04/28,-71.052
2013/04/29,-25.232
2013/04/30,-17.592
2013/05/01,71.118
2013/05/02,-19.25
2013/05/03,-10.663
2013/05/04,-61.367
2013/05/05,-35.641
2013/05/06,19.497
2013/05/07,127.722
2013/05/08,39.214
2013/05/09,-26.366
2013/05/10,-18.877
2013/05/11,-19.473
2013/05/12,-17.104
2013/05/13,-3.604
2013/05/14,12.865
2013/05/15,27.782
2013/05/16,-13.53
2013/05/17,3.519
2013/05/18,2.017
2013/05/19,-32.514
2013/05/20,-25.939
2013/05/21,3.756
2013/05/22,76.571
2013/05/23,33.222
2013/05/24,25.265
2013/05/25,6.353
2013/05/26,-38.58
2013/05/27,-12.984
2013/05/28,-2.638
2013/05/29,86.187
2013/05/30,-3.469
2013/05/31,-5.184
2013/06/01,-34.944
2013/06/02,-35.515
2013/06/03,11.157
2013/06/04,26.923
2013/06/05,57.41
2013/06/06,-0.921
2013/06/07,0.663
2013/06/08,-46.961
2013/06/09,-18.448
2013/06/10,-32.045
2013/06/11,48.463
2013/06/12,-17.853
2013/06/13,26.491
2013/06/14,20.592
2013/06/15,-30.376
2013/06/16,-21.941
2013/06/17,-21.61
2013/06/18,60.195
2013/06/19,19.347
2013/06/20,30.21
2013/06/21,9.684
2013/06/22,-27.831
2013/06/23,-56.909
2013/06/24,-17.895
2013/06/25,61.424
2013/06/26,82.179
2013/06/27,-11.726
2013/06/28,-13.955
2013/06/29,-24.295
2013/06/30,-31.075
2013/07/01,22.869
2013/07/02,34.672
2013/07/03,87.085
