Date,activeaddresses90var
2011/07/19,73929652
2011/07/20,72651469
2011/07/21,71240051
2011/07/22,69778192
2011/07/23,67866248
2011/07/24,66125230
2011/07/25,65140387
2011/07/26,63966481
2011/07/27,62345839
2011/07/28,61088448
2011/07/29,59752795
2011/07/30,58121176
2011/07/31,56219083
2011/08/01,54222662
2011/08/02,52136562
2011/08/03,50236888
2011/08/04,48209848
2011/08/05,46251767
2011/08/06,43969456
2011/08/07,42004993
2011/08/08,40003606
2011/08/09,37841746
2011/08/10,35640947
2011/08/11,34137849
2011/08/12,32586121
2011/08/13,30660868
2011/08/14,29536176
2011/08/15,28163481
2011/08/16,27256601
2011/08/17,26151707
2011/08/18,24924822
2011/08/19,23439268
2011/08/20,21958500
2011/08/21,20738519
2011/08/22,19802458
2011/08/23,19046598
2011/08/24,18264989
2011/08/25,16612349
2011/08/26,15173129
2011/08/27,13624212
2011/08/28,12642688
2011/08/29,11897966
2011/08/30,11292016
2011/08/31,11050879
2011/09/01,11162870
2011/09/02,11581980
2011/09/03,12128603
2011/09/04,12441892
2011/09/05,12517824
2011/09/06,12565265
2011/09/07,12909888
2011/09/08,13488174
2011/09/09,13698213
2011/09/10,14055410
2011/09/11,14561649
2011/09/12,14406811
2011/09/13,14780851
2011/09/14,14954521
2011/09/15,15306041
2011/09/16,15764906
2011/09/17,16264242
2011/09/18,16695793
2011/09/19,16932196
2011/09/20,16641638
2011/09/21,16703060
2011/09/22,16724555
2011/09/23,16732388
2011/09/24,16725214
2011/09/25,15910623
2011/09/26,15769441
2011/09/27,15722570
2011/09/28,16250916
2011/09/29,16017573
2011/09/30,15122260
2011/10/01,15723010
2011/10/02,16434233
2011/10/03,16799409
2011/10/04,16749129
2011/10/05,17113295
2011/10/06,17208321
2011/10/07,17527532
2011/10/08,17204959
2011/10/09,17349326
2011/10/10,17611269
2011/10/11,17263908
2011/10/12,16555429
2011/10/13,16817267
2011/10/14,16720412
2011/10/15,16672278
2011/10/16,16192872
2011/10/17,15931267
2011/10/18,15687423
2011/10/19,15444258
2011/10/20,15507615
2011/10/21,15702971
2011/10/22,15724323
2011/10/23,14969219
2011/10/24,14661949
2011/10/25,14449833
2011/10/26,13871713
2011/10/27,13935407
2011/10/28,14056614
2011/10/29,13656133
2011/10/30,13435055
2011/10/31,13389644
2011/11/01,13512174
2011/11/02,13572087
2011/11/03,13406278
2011/11/04,13242310
2011/11/05,13171354
2011/11/06,12618050
2011/11/07,12101860
2011/11/08,11999612
2011/11/09,11963011
2011/11/10,11970206
2011/11/11,11990759
2011/11/12,11755340
2011/11/13,11717969
2011/11/14,11426167
2011/11/15,11179669
2011/11/16,10926241
2011/11/17,10499498
2011/11/18,10196281
2011/11/19,9812810
2011/11/20,8777800
2011/11/21,8320679
2011/11/22,7811624
2011/11/23,7095869
2011/11/24,6664822
2011/11/25,6263171
2011/11/26,6230617
2011/11/27,6102361
2011/11/28,5989075
2011/11/29,5888576
2011/11/30,5811642
2011/12/01,5760598
2011/12/02,5761622
2011/12/03,5627154
2011/12/04,5455147
2011/12/05,5182762
2011/12/06,5102055
2011/12/07,5060575
2011/12/08,4791576
2011/12/09,4769573
2011/12/10,4761427
2011/12/11,4676175
2011/12/12,4705446
2011/12/13,4709602
2011/12/14,4686729
2011/12/15,4795797
2011/12/16,4876477
2011/12/17,4969750
2011/12/18,5007389
2011/12/19,4157498
2011/12/20,3900114
2011/12/21,3688307
2011/12/22,3146493
2011/12/23,2673747
2011/12/24,2280698
2011/12/25,2003845
2011/12/26,1596828
2011/12/27,1589155
2011/12/28,1622427
2011/12/29,1628890
2011/12/30,1668904
2011/12/31,1692663
2012/01/01,1683076
2012/01/02,1665779
2012/01/03,1654674
2012/01/04,1609116
2012/01/05,1687393
2012/01/06,1755248
2012/01/07,1765236
2012/01/08,1810414
2012/01/09,1855196
2012/01/10,1985103
2012/01/11,2195386
2012/01/12,2170802
2012/01/13,2207958
2012/01/14,2246637
2012/01/15,2230290
2012/01/16,2285653
2012/01/17,2315198
2012/01/18,2335725
2012/01/19,2393889
2012/01/20,2412952
2012/01/21,2417170
2012/01/22,2420704
2012/01/23,2421755
2012/01/24,2474286
2012/01/25,2615101
2012/01/26,2644107
2012/01/27,2672345
2012/01/28,2649167
2012/01/29,2666319
2012/01/30,2670253
2012/01/31,2751405
2012/02/01,2796980
2012/02/02,2816364
2012/02/03,2955969
2012/02/04,3056342
2012/02/05,3090583
2012/02/06,3093180
2012/02/07,3105044
2012/02/08,3112287
2012/02/09,3148536
2012/02/10,3254688
2012/02/11,3300177
2012/02/12,3307961
2012/02/13,3400951
2012/02/14,3697132
2012/02/15,3904926
2012/02/16,4206851
2012/02/17,4090471
2012/02/18,4055902
2012/02/19,3932581
2012/02/20,3892668
2012/02/21,3860025
2012/02/22,3860705
2012/02/23,3984258
2012/02/24,3937332
2012/02/25,3854451
2012/02/26,3841023
2012/02/27,3850662
2012/02/28,3890860
2012/02/29,3918503
2012/03/01,3972005
2012/03/02,4110764
2012/03/03,4083236
2012/03/04,4085435
2012/03/05,4119646
2012/03/06,4125244
2012/03/07,4141003
2012/03/08,4114209
2012/03/09,4095311
2012/03/10,4068465
2012/03/11,4007625
2012/03/12,3955944
2012/03/13,3978211
2012/03/14,3821315
2012/03/15,3678777
2012/03/16,3526053
2012/03/17,3324834
2012/03/18,3294379
2012/03/19,3298826
2012/03/20,3244591
2012/03/21,3202836
2012/03/22,3146136
2012/03/23,2931878
2012/03/24,2845150
2012/03/25,2774792
2012/03/26,2686116
2012/03/27,2514549
2012/03/28,2397340
