Date,mediantransactionvalue90emaUSD
2011/11/19,85.43
2011/11/20,84.522
2011/11/21,83.738
2011/11/22,82.929
2011/11/23,81.956
2011/11/24,81.074
2011/11/25,80.343
2011/11/26,79.766
2011/11/27,78.995
2011/11/28,78.15
2011/11/29,77.169
2011/11/30,76.475
2011/12/01,75.85
2011/12/02,75.332
2011/12/03,74.784
2011/12/04,74.037
2011/12/05,73.154
2011/12/06,72.038
2011/12/07,71.543
2011/12/08,71.148
2011/12/09,70.902
2011/12/10,70.996
2011/12/11,70.822
2011/12/12,70.669
2011/12/13,70.363
2011/12/14,70.301
2011/12/15,70.15
2011/12/16,70.044
2011/12/17,69.753
2011/12/18,69.324
2011/12/19,69.191
2011/12/20,69.313
2011/12/21,69.254
2011/12/22,69.186
2011/12/23,68.743
2011/12/24,68.386
2011/12/25,68.145
2011/12/26,67.982
2011/12/27,67.736
2011/12/28,67.878
2011/12/29,67.765
2011/12/30,67.756
2011/12/31,67.774
2012/01/01,67.982
2012/01/02,67.911
2012/01/03,67.929
2012/01/04,68.181
2012/01/05,68.654
2012/01/06,69.724
2012/01/07,70.478
2012/01/08,71.104
2012/01/09,71.618
2012/01/10,71.585
2012/01/11,71.616
2012/01/12,71.608
2012/01/13,71.629
2012/01/14,71.626
2012/01/15,71.483
2012/01/16,71.422
2012/01/17,71.551
2012/01/18,72.026
2012/01/19,72.44
2012/01/20,72.772
2012/01/21,73.262
2012/01/22,73.846
2012/01/23,74.259
2012/01/24,74.347
2012/01/25,74.281
2012/01/26,74.298
2012/01/27,74.217
2012/01/28,74.133
2012/01/29,73.848
2012/01/30,74.392
2012/01/31,74.7
2012/02/01,74.895
2012/02/02,74.825
2012/02/03,75.373
2012/02/04,75.408
2012/02/05,75.331
2012/02/06,75.264
2012/02/07,75.061
2012/02/08,74.987
2012/02/09,74.593
2012/02/10,73.855
2012/02/11,73.296
2012/02/12,72.952
2012/02/13,72.567
2012/02/14,71.906
2012/02/15,70.858
2012/02/16,69.79
2012/02/17,69.907
2012/02/18,69.843
2012/02/19,69.482
2012/02/20,69.055
2012/02/21,68.954
2012/02/22,68.968
