Date,sentbyaddress
2013/07/23,46029
2013/07/24,46364
2013/07/25,47187
2013/07/26,44729
2013/07/27,35878
2013/07/28,34714
2013/07/29,48191
2013/07/30,51768
2013/07/31,59358
2013/08/01,62797
2013/08/02,58514
2013/08/03,44035
2013/08/04,40810
2013/08/05,55116
2013/08/06,54498
2013/08/07,55770
2013/08/08,53717
2013/08/09,47792
2013/08/10,45515
2013/08/11,37559
2013/08/12,80297
2013/08/13,51690
2013/08/14,55396
2013/08/15,54401
2013/08/16,61593
2013/08/17,44733
2013/08/18,40536
2013/08/19,61176
2013/08/20,57878
2013/08/21,58463
2013/08/22,62121
2013/08/23,53296
2013/08/24,43921
2013/08/25,39789
2013/08/26,52493
2013/08/27,59870
2013/08/28,60426
2013/08/29,53614
2013/08/30,63407
2013/08/31,58367
2013/09/01,35070
2013/09/02,39510
2013/09/03,44660
2013/09/04,49013
2013/09/05,47575
2013/09/06,46447
2013/09/07,40099
2013/09/08,34258
2013/09/09,44475
2013/09/10,43186
2013/09/11,48808
2013/09/12,49797
2013/09/13,45195
2013/09/14,34424
2013/09/15,33262
2013/09/16,45377
2013/09/17,48348
2013/09/18,50825
2013/09/19,52197
2013/09/20,49058
2013/09/21,40933
2013/09/22,36668
2013/09/23,50662
2013/09/24,51158
2013/09/25,47550
2013/09/26,50893
2013/09/27,49342
2013/09/28,41648
2013/09/29,40730
2013/09/30,50961
2013/10/01,57035
2013/10/02,59739
2013/10/03,49201
2013/10/04,45864
2013/10/05,36735
2013/10/06,35667
2013/10/07,45601
2013/10/08,48058
2013/10/09,50765
2013/10/10,51378
2013/10/11,49125
2013/10/12,41456
2013/10/13,41672
2013/10/14,50466
2013/10/15,53318
2013/10/16,56357
2013/10/17,48319
2013/10/18,52409
2013/10/19,53058
2013/10/20,40922
2013/10/21,53589
2013/10/22,57627
2013/10/23,59752
2013/10/24,69213
2013/10/25,61737
2013/10/26,43994
2013/10/27,40225
2013/10/28,52192
2013/10/29,53344
2013/10/30,58772
2013/10/31,59077
2013/11/01,54743
2013/11/02,48497
2013/11/03,49317
2013/11/04,64453
2013/11/05,76313
2013/11/06,75714
2013/11/07,87037
2013/11/08,82696
2013/11/09,78528
2013/11/10,69467
2013/11/11,63811
2013/11/12,72495
2013/11/13,77452
2013/11/14,86149
2013/11/15,78153
2013/11/16,65478
2013/11/17,67792
2013/11/18,111201
2013/11/19,133192
2013/11/20,106342
2013/11/21,98390
2013/11/22,104185
2013/11/23,99774
2013/11/24,77340
2013/11/25,92931
2013/11/26,118883
2013/11/27,133819
2013/11/28,132496
2013/11/29,122082
2013/11/30,100732
2013/12/01,102140
2013/12/02,105464
2013/12/03,111713
2013/12/04,116297
2013/12/05,121209
2013/12/06,103749
2013/12/07,94633
2013/12/08,67967
2013/12/09,93899
2013/12/10,94003
2013/12/11,94124
2013/12/12,82478
2013/12/13,88839
2013/12/14,83456
2013/12/15,78364
2013/12/16,100555
2013/12/17,99766
2013/12/18,116199
2013/12/19,99061
2013/12/20,88121
2013/12/21,77914
2013/12/22,71580
2013/12/23,78043
2013/12/24,83776
2013/12/25,85446
2013/12/26,78213
2013/12/27,79778
2013/12/28,69867
2013/12/29,66937
2013/12/30,85583
2013/12/31,73807
2014/01/01,61124
2014/01/02,84680
2014/01/03,91366
2014/01/04,73811
2014/01/05,84779
2014/01/06,99153
2014/01/07,85250
2014/01/08,83697
2014/01/09,83848
2014/01/10,78871
2014/01/11,78685
2014/01/12,69707
2014/01/13,77795
2014/01/14,78269
2014/01/15,83072
2014/01/16,75641
