Date,top100cap30ema
2011/08/09,29.261
2011/08/10,29.263
2011/08/11,29.264
2011/08/12,29.263
2011/08/13,29.258
2011/08/14,29.246
2011/08/15,29.235
2011/08/16,29.221
2011/08/17,29.233
2011/08/18,29.241
2011/08/19,29.248
2011/08/20,29.252
2011/08/21,29.254
2011/08/22,29.255
2011/08/23,29.254
2011/08/24,29.258
2011/08/25,29.219
2011/08/26,29.182
2011/08/27,29.175
2011/08/28,29.167
2011/08/29,29.156
2011/08/30,29.143
2011/08/31,29.13
2011/09/01,29.12
2011/09/02,29.108
2011/09/03,29.093
2011/09/04,29.08
2011/09/05,29.066
2011/09/06,29.05
2011/09/07,29.064
2011/09/08,29.075
2011/09/09,29.09
2011/09/10,29.105
2011/09/11,29.182
2011/09/12,29.266
2011/09/13,29.342
2011/09/14,29.41
2011/09/15,29.47
2011/09/16,29.527
2011/09/17,29.578
2011/09/18,29.626
2011/09/19,29.666
2011/09/20,29.699
2011/09/21,29.762
2011/09/22,29.816
2011/09/23,29.86
2011/09/24,29.903
2011/09/25,29.937
2011/09/26,29.966
2011/09/27,29.991
2011/09/28,30.013
2011/09/29,30.032
2011/09/30,30.048
2011/10/01,30.062
2011/10/02,30.073
2011/10/03,30.082
2011/10/04,30.089
2011/10/05,30.093
2011/10/06,30.094
2011/10/07,30.102
2011/10/08,30.107
2011/10/09,30.111
2011/10/10,30.112
2011/10/11,30.112
2011/10/12,30.109
2011/10/13,30.108
2011/10/14,30.103
2011/10/15,30.097
2011/10/16,30.09
2011/10/17,30.077
2011/10/18,30.059
2011/10/19,30.043
2011/10/20,30.023
2011/10/21,30.009
2011/10/22,29.988
2011/10/23,29.968
2011/10/24,29.948
2011/10/25,29.928
2011/10/26,29.908
2011/10/27,29.887
2011/10/28,29.866
2011/10/29,29.866
2011/10/30,29.864
2011/10/31,29.859
2011/11/01,29.852
2011/11/02,29.843
2011/11/03,29.843
2011/11/04,29.841
2011/11/05,29.836
2011/11/06,29.83
2011/11/07,29.823
2011/11/08,29.807
2011/11/09,29.787
2011/11/10,29.768
2011/11/11,29.748
2011/11/12,29.73
2011/11/13,29.71
2011/11/14,29.69
2011/11/15,29.669
2011/11/16,29.653
2011/11/17,29.632
2011/11/18,29.602
2011/11/19,29.581
2011/11/20,29.552
2011/11/21,29.523
2011/11/22,29.493
2011/11/23,29.463
2011/11/24,29.435
2011/11/25,29.406
2011/11/26,29.376
2011/11/27,29.347
2011/11/28,29.351
2011/11/29,29.353
2011/11/30,29.344
2011/12/01,29.334
2011/12/02,29.321
2011/12/03,29.303
2011/12/04,29.283
2011/12/05,29.261
2011/12/06,29.232
2011/12/07,29.199
2011/12/08,29.04
2011/12/09,28.687
2011/12/10,28.351
2011/12/11,28.022
2011/12/12,27.702
2011/12/13,27.402
2011/12/14,27.12
2011/12/15,26.855
2011/12/16,26.605
2011/12/17,26.37
2011/12/18,26.149
2011/12/19,25.941
2011/12/20,25.77
2011/12/21,25.609
2011/12/22,25.455
2011/12/23,25.31
2011/12/24,25.173
2011/12/25,25.043
2011/12/26,24.921
2011/12/27,24.803
2011/12/28,24.692
2011/12/29,24.586
2011/12/30,24.485
2011/12/31,24.39
2012/01/01,24.3
2012/01/02,24.214
2012/01/03,24.133
2012/01/04,24.056
2012/01/05,23.986
2012/01/06,23.915
2012/01/07,23.847
2012/01/08,23.782
2012/01/09,23.746
2012/01/10,23.71
2012/01/11,23.676
2012/01/12,23.641
2012/01/13,23.613
2012/01/14,23.589
2012/01/15,23.566
2012/01/16,23.542
2012/01/17,23.519
2012/01/18,23.501
2012/01/19,23.501
2012/01/20,23.5
2012/01/21,23.501
2012/01/22,23.503
2012/01/23,23.502
2012/01/24,23.5
2012/01/25,23.503
2012/01/26,23.504
2012/01/27,23.503
2012/01/28,23.503
2012/01/29,23.507
2012/01/30,23.511
2012/01/31,23.516
2012/02/01,23.518
2012/02/02,23.523
2012/02/03,23.525
2012/02/04,23.533
2012/02/05,23.539
2012/02/06,23.543
2012/02/07,23.544
2012/02/08,23.545
2012/02/09,23.545
2012/02/10,23.544
2012/02/11,23.536
2012/02/12,23.527
2012/02/13,23.534
2012/02/14,23.576
2012/02/15,23.541
2012/02/16,23.492
2012/02/17,23.441
2012/02/18,23.387
2012/02/19,23.337
2012/02/20,23.287
2012/02/21,23.245
2012/02/22,23.203
2012/02/23,23.162
2012/02/24,23.121
2012/02/25,23.117
2012/02/26,23.112
2012/02/27,23.106
2012/02/28,23.107
2012/02/29,23.1
2012/03/01,23.095
2012/03/02,23.092
2012/03/03,23.08
2012/03/04,23.065
2012/03/05,23.051
2012/03/06,23.036
2012/03/07,23.024
2012/03/08,23.012
2012/03/09,22.998
2012/03/10,22.985
2012/03/11,22.974
2012/03/12,22.957
2012/03/13,22.94
2012/03/14,22.928
2012/03/15,22.923
2012/03/16,22.918
2012/03/17,22.912
2012/03/18,22.906
2012/03/19,22.9
2012/03/20,22.894
2012/03/21,22.886
2012/03/22,22.873
2012/03/23,22.864
2012/03/24,22.854
2012/03/25,22.871
2012/03/26,22.886
2012/03/27,22.897
2012/03/28,22.914
2012/03/29,22.929
2012/03/30,22.94
2012/03/31,22.948
2012/04/01,22.955
2012/04/02,22.969
2012/04/03,22.973
2012/04/04,22.994
2012/04/05,23.018
2012/04/06,23.061
2012/04/07,23.101
2012/04/08,23.137
2012/04/09,23.142
2012/04/10,23.146
2012/04/11,23.15
2012/04/12,23.156
2012/04/13,23.153
2012/04/14,23.15
2012/04/15,23.152
2012/04/16,23.174
2012/04/17,23.209
2012/04/18,23.242
2012/04/19,23.278
2012/04/20,23.326
2012/04/21,23.368
2012/04/22,23.416
2012/04/23,23.459
2012/04/24,23.498
2012/04/25,23.526
2012/04/26,23.559
2012/04/27,23.589
2012/04/28,23.615
2012/04/29,23.628
2012/04/30,23.639
2012/05/01,23.648
2012/05/02,23.655
2012/05/03,23.66
2012/05/04,23.66
2012/05/05,23.665
2012/05/06,23.707
2012/05/07,23.751
2012/05/08,23.788
2012/05/09,23.83
2012/05/10,23.874
2012/05/11,23.938
2012/05/12,23.99
2012/05/13,24.04
2012/05/14,24.086
2012/05/15,24.134
2012/05/16,24.189
2012/05/17,24.255
2012/05/18,24.318
2012/05/19,24.374
2012/05/20,24.428
2012/05/21,24.48
2012/05/22,24.544
2012/05/23,24.609
2012/05/24,24.674
2012/05/25,24.736
2012/05/26,24.795
2012/05/27,24.848
2012/05/28,24.898
2012/05/29,24.945
2012/05/30,24.993
2012/05/31,25.019
2012/06/01,25.009
2012/06/02,24.998
2012/06/03,24.99
2012/06/04,24.975
2012/06/05,24.959
2012/06/06,24.945
2012/06/07,24.93
2012/06/08,24.915
2012/06/09,24.925
2012/06/10,24.929
2012/06/11,24.923
2012/06/12,24.917
2012/06/13,24.927
2012/06/14,24.93
2012/06/15,24.928
2012/06/16,24.929
2012/06/17,24.921
2012/06/18,24.919
2012/06/19,24.918
2012/06/20,24.916
2012/06/21,24.916
2012/06/22,24.914
2012/06/23,24.91
2012/06/24,24.914
2012/06/25,24.906
2012/06/26,24.891
2012/06/27,24.885
2012/06/28,24.894
2012/06/29,24.896
2012/06/30,24.899
2012/07/01,24.905
2012/07/02,24.9
2012/07/03,24.898
2012/07/04,24.906
2012/07/05,24.912
2012/07/06,24.918
2012/07/07,24.923
2012/07/08,24.927
2012/07/09,24.927
2012/07/10,24.926
2012/07/11,24.929
2012/07/12,24.957
2012/07/13,24.975
2012/07/14,24.988
2012/07/15,25.002
2012/07/16,25.003
2012/07/17,24.997
2012/07/18,24.991
2012/07/19,24.979
2012/07/20,24.966
2012/07/21,24.952
2012/07/22,24.937
2012/07/23,24.924
2012/07/24,24.905
2012/07/25,24.892
2012/07/26,24.885
